mileage,make,model,fuel,gear,offerType,price,hp,year
9984,Opel,Astra,Gasoline,Manual,Used,13580,105,2019
22500,Fiat,500L,Gasoline,Manual,Used,8888,69,2016
20,Skoda,Fabia,Gasoline,Manual,Employee's car,13400,75,2019
47679,BMW,114,Gasoline,Manual,Used,9480,102,2013
29800,Volvo,XC40,Gasoline,Automatic,Used,33890,190,2018
85750,Volkswagen,Sharan,Diesel,Manual,Used,21449,150,2018
94682,Fiat,Panda,Gasoline,Manual,Used,4990,69,2013
107517,Hyundai,i10,Gasoline,Manual,Used,3950,67,2011
250000,Volvo,V50,Diesel,Manual,Used,4999,114,2012
159800,Mercedes-Benz,B 200,Diesel,Automatic,Used,12900,136,2014
12000,SEAT,Leon,Gasoline,Automatic,Demonstration,41990,300,2019
95770,Opel,Corsa,Gasoline,Manual,Used,5499,69,2015
182452,Audi,A8,Diesel,Automatic,Used,49990,286,2018
25385,Mercedes-Benz,S 350,Diesel,Automatic,Used,67399,286,2019
18654,Ford,Fiesta,Gasoline,Manual,Employee's car,16490,125,2020
149000,Ford,Tourneo Connect,Diesel,Manual,Used,9990,116,2014
20355,Ford,Fiesta,Gasoline,Manual,Used,8770,86,2018
5,Fiat,500,Gasoline,Manual,Pre-registered,11289,69,2020
85300,Citroen,DS3,Diesel,Manual,Used,6300,92,2013
368000,Hyundai,iX20,Diesel,Manual,Used,3790,90,2011
127507,Audi,A6,Diesel,Automatic,Used,29960,320,2018
126400,Nissan,Juke,Gasoline,Manual,Used,7990,117,2013
93210,Chevrolet,Orlando,Gasoline,Manual,Used,9990,140,2014
42800,Renault,Twingo,Gasoline,Manual,Used,7280,69,2018
10,Hyundai,i10,Gasoline,Manual,Pre-registered,10290,67,2019
89829,Ford,EcoSport,Gasoline,Manual,Used,8690,125,2014
50,Fiat,500,Gasoline,Manual,Pre-registered,12790,71,2020
136940,Porsche,Macan,Gasoline,Automatic,Used,39500,340,2014
4900,Volkswagen,Tiguan,Gasoline,Automatic,Demonstration,64980,320,2021
100800,Ford,C-Max,Diesel,Automatic,Used,11990,150,2015
1600,Hyundai,i20,Gasoline,Automatic,Demonstration,22995,120,2021
40569,Opel,Mokka X,Gasoline,Manual,Used,12440,120,2018
9985,Renault,ZOE,Electric,Automatic,Demonstration,13575,109,2019
117000,Volkswagen,up!,Gasoline,Manual,Used,4500,75,2012
100,Volkswagen,Polo,Gasoline,Manual,Demonstration,15950,80,2021
27840,smart,forFour,Gasoline,Automatic,Used,15790,90,2019
85310,Volkswagen,Tiguan,Gasoline,Automatic,Used,26999,220,2017
11072,Renault,Kangoo,Diesel,Manual,Used,17791,116,2020
138409,Mercedes-Benz,E 200,Diesel,Automatic,Used,23400,150,2017
173000,Ford,Fiesta,Gasoline,Manual,Used,2500,60,2011
51833,Ford,Focus,Diesel,Manual,Used,9440,95,2015
132550,Dacia,Sandero,Gasoline,Manual,Used,3990,84,2011
110513,SEAT,Leon,Diesel,Manual,Used,9980,150,2016
97450,Volkswagen,Golf,Gasoline,Manual,Used,7490,105,2011
16569,Opel,Adam,Gasoline,Manual,Used,12597,87,2019
1263,Cupra,Leon,Electric/Gasoline,Automatic,Demonstration,42790,245,2021
92328,Dacia,Sandero,Diesel,Manual,Used,6699,90,2014
68053,Opel,Astra,Gasoline,Manual,Used,8850,140,2011
99800,Mercedes-Benz,C 220,Diesel,Automatic,Used,14950,170,2011
95000,Volkswagen,up!,Gasoline,Manual,Used,4300,60,2013
120000,Skoda,Yeti,Gasoline,Manual,Used,12980,160,2015
84229,Toyota,RAV 4,Electric/Gasoline,Automatic,Used,23970,197,2018
164000,Audi,A3,Gasoline,Manual,Used,6500,125,2011
7990,smart,forFour,Gasoline,Automatic,Used,12444,71,2019
57900,Fiat,500,Gasoline,Manual,Used,7999,69,2014
113500,Mercedes-Benz,A 180,Gasoline,Manual,Used,10400,122,2012
5000,Renault,Talisman,Gasoline,Automatic,Demonstration,38950,224,2021
22400,Volkswagen,Golf,Gasoline,Manual,Used,22950,150,2020
98000,Ford,Fiesta,Gasoline,Manual,Used,4999,60,2014
24335,Audi,A5,Diesel,Automatic,Used,37405,190,2017
118427,Skoda,Octavia,Diesel,Manual,Used,11980,110,2017
38070,Audi,A5,Gasoline,Automatic,Used,33880,190,2018
57000,BMW,225,Gasoline,Automatic,Used,22500,231,2015
129358,Skoda,Kodiaq,Diesel,Manual,Used,24785,150,2018
75998,Opel,Zafira,Gasoline,Manual,Used,7950,140,2013
73318,Renault,Koleos,Diesel,Manual,Used,9280,150,2013
358000,Hyundai,iX35,LPG,Automatic,Used,7590,163,2013
50,Hyundai,i30,Gasoline,Automatic,Used,18990,120,2021
49000,Subaru,Forester,Gasoline,Automatic,Used,18998,150,2013
1000,Kia,Picanto,Gasoline,Automatic,Demonstration,12800,67,2021
59500,Opel,Corsa,Gasoline,Manual,Used,8500,69,2017
166791,Opel,Meriva,Diesel,Automatic,Used,5990,101,2012
187800,Opel,Astra,Diesel,Manual,Used,5250,131,2014
13799,smart,forFour,Gasoline,Manual,Used,8990,71,2017
88456,Opel,Astra,Diesel,Manual,Used,5499,110,2014
138290,Ford,Focus,Gasoline,Manual,Used,6490,150,2012
150000,Hyundai,i30,Diesel,Manual,Used,8500,110,2017
54990,Opel,Karl,Gasoline,Manual,Used,8390,73,2018
20,Ford,Galaxy,Diesel,Automatic,Pre-registered,33990,150,2020
14975,Jaguar,XF,Diesel,Automatic,Used,44900,300,2020
70000,Fiat,Panda,Gasoline,Manual,Used,5800,69,2016
32597,Volkswagen,Polo,Gasoline,Manual,Used,12850,110,2015
44262,Volkswagen,Golf,Gasoline,Manual,Used,13980,86,2019
31021,Volvo,V90 Cross Country,Diesel,Automatic,Used,31995,190,2018
20144,Renault,Grand Scenic,Diesel,Automatic,Used,23980,120,2019
99,Fiat,500,Electric/Gasoline,Manual,Pre-registered,14490,71,2021
194766,Opel,Zafira Tourer,Diesel,Manual,Used,7990,136,2015
85488,Ford,Ka/Ka+,Gasoline,Manual,Used,2550,69,2012
130000,Audi,A6,Diesel,Automatic,Used,39499,286,2019
23053,Suzuki,Swift,Gasoline,Manual,Used,9550,136,2016
135550,Hyundai,iX35,Gasoline,Manual,Used,8690,163,2011
